Monthly Mean of Max Temp,Mean monthly Min Temp,Relative Humidity (RH),Rainfall (R),Water Level (WL)  ,GAUGE HEIGHT (151.166 m),Class
34.5,18.8,27,0,1.51,152.676,normal
37.5,20.8,21,0,1.51,152.676,normal
40.1,24.9,25,0,1.6,152.766,normal
39.7,27.2,47,45.1,1.54,152.706,normal
37,26.4,61,113.3,1.59,152.756,normal
32.8,24,76,142.4,1.79,152.956,normal
31.2,23.4,79,185.5,2.76,153.926,normal
30.5,23,84,164,4.58,155.746,flood
30,22.8,85,353.9,5.53,156.696,flood
33.6,22.5,74,97.3,4.62,155.786,flood
36.1,12.2,52,0,2.19,153.356,normal
33.5,17.7,38,0,1.77,152.936,normal
31.4,15.6,28,0,1.53,152.696,normal
33.9,18.2,23,0,1.38,152.546,normal
40,21.7,27,0,1.53,152.696,normal
40.1,25.5,42,20.8,1.46,152.626,normal
35.1,24.4,67,137.3,1.53,152.696,normal
33.3,23.4,80,62.9,1.77,152.936,normal
31,22.5,80,235.8,2.66,153.826,normal
30.5,21.8,84,339.7,5.18,156.346,flood
31.1,22.6,81,55.4,3.78,154.946,flood
34.3,22.4,68,4,3.48,154.646,flood
36.4,18.4,42,0,1.71,152.876,normal
33.8,16.4,35,0,1.69,152.856,normal
35.8,18.2,32,0,1.49,152.656,normal
35.4,20,21,0,1.41,152.576,normal
38.6,22.5,22,0,1.43,152.596,normal
40.3,27.2,44,78.5,1.42,152.586,normal
35.8,25.6,64,92.4,1.42,152.586,normal
34.6,24.6,70,143.5,1.46,152.626,normal
30.9,22.9,82,259.6,1.93,153.096,normal
31.8,22.8,82,167.1,4.85,156.016,flood
31.8,22.9,78,90.7,4.29,155.456,flood
31.8,23.3,72,16.6,2.83,153.996,normal
34.6,21.1,59,6.6,1.95,153.116,normal
36.3,19.6,45,0,1.54,152.706,normal
36.5,18.4,37,0,1.31,152.476,normal
34.5,21.5,28,0,1.22,152.386,normal
40.3,26.2,27,0,1.22,152.386,normal
40.5,27.3,51,12.5,1.22,152.386,normal
38.7,24.2,66,161.6,1.69,152.856,normal
32.9,24.1,78,70.3,2.37,152.536,normal
33,23.3,80,128,3.15,154.316,flood
31.6,23,84,168.5,4.32,155.486,flood
30,22.9,82,179,4.99,156.156,flood
32.1,22.9,77,24.7,3.47,154.636,flood
33.6,18.4,50,0,2.26,153.426,normal
36.1,16.9,35,0,1.83,152.996,normal
33.5,17.6,29,0,1.55,152.716,normal
33.1,20.7,21,0,1.47,152.636,normal
35.8,25.7,35,13.1,1.46,152.626,normal
39.4,27.1,48,22.8,1.45,152.616,normal
39.2,26,65,166.7,2.71,153.876,normal
36.2,23.8,67,67.1,2.28,153.446,normal
32.9,22.8,81,216.4,3.23,154.396,flood
31.5,22.7,72,299.5,4.41,155.576,flood
30.6,22.6,80,132.8,5.92,157.086,flood
31,23.1,75,132.8,3.96,155.126,flood
34.1,19.4,49,29.2,2.54,153.706,normal
34.9,16,34,7,1.89,153.056,normal
35.4,17.5,28,0,1.7,152.866,normal
32.3,19,22,0,1.66,152.826,normal
37,24,38,0,1.69,152.856,normal
39,25.9,45,26.1,1.65,152.816,normal
39.4,25,68,71.2,1.82,152.986,normal
35.9,23.2,73,122,2.17,153.336,normal
33.2,23,80,76.2,3.05,154.216,flood
32.1,22.9,83,169.4,4.43,155.596,flood
30.7,22.9,82,262.8,4.61,155.776,flood
31.7,23,74,192,3.26,154.426,flood
35,19,51,41.7,2.21,153.376,normal
35.1,19,36,0,1.94,153.106,normal
34.8,18.4,32,0,1.81,152.976,normal
34.7,21,21,0,1.82,152.986,normal
37,24,21,0,1.74,152.906,normal
41,26.6,24,0,1.74,152.906,normal
38.8,25.8,50,80.7,1.84,153.006,normal
36.6,23.6,63,69.4,2.09,153.256,normal
33.2,23.5,74,107.7,2.89,154.056,flood
32.8,23,74,121.5,3.84,155.006,flood
30,23.4,84,234.8,5.43,156.596,flood
31.4,23,82,112,3.75,154.916,flood
33,18.3,79,110,1.62,152.786,normal
35.4,16.5,35,0,1.79,152.956,normal
33,16,37,0,1.56,152.726,normal
33,18.6,25,0,1.41,152.576,normal
35.9,18.6,32,0,1.41,152.576,normal
40.5,25,42,2.9,1.33,152.496,normal
40.1,27.2,63,30.9,1.66,152.826,normal
37,26,77,68.1,2.42,153.586,normal
32.8,23.8,79,194.9,3.61,154.776,flood
31.5,23.5,84,231.8,5.35,156.516,flood
30.7,23,82,213.7,4.86,156.026,flood
33,23.5,79,50,3.75,154.916,flood
32.9,18.4,51,192.6,2.88,154.046,flood
34.7,16,35,0,2.17,153.336,normal
35.5,16.9,29,0,2,153.166,normal
36.5,21.2,27,0,1.84,153.006,normal
38.7,26,35,0,1.77,152.936,normal
40.2,25,50,0,1.78,152.946,normal
38.8,26,67,0,1.98,153.146,normal
35.2,24,84,120.6,2.82,153.986,normal
33,23.4,78,131.8,3.4,154.566,flood
31.8,22.9,81,146.8,4.55,155.716,flood
31,22.6,82,263.7,5.94,157.106,flood
30.6,22.9,77,206.4,5.27,156.436,flood
32.1,17,52,66.3,2.65,153.816,normal
34.8,16.2,44,0,1.83,152.996,normal
35.4,18.2,28,0,1.55,152.716,normal
35.6,21,19,0,1.47,152.636,normal
30.8,23.5,25,0,1.48,152.646,normal
39.1,24.8,48,0,1.56,152.726,normal
39,26.7,64,126.8,1.88,153.046,normal
36,25,78,177.4,2.48,153.646,normal
33,23.6,80,169,4,155.166,flood
32.2,23,83,98.4,5.57,156.736,flood
32,23.5,73,117.4,4.71,155.876,flood
32.7,24,78,126.9,3.86,155.026,flood
34,20.9,60,96,2.88,154.046,flood
36.4,16.9,41,7,2.14,153.306,normal
35.2,18,30,0,1.8,152.966,normal
34.8,22.3,26,0,1.71,152.876,normal
39,24.6,24,0,1.66,152.826,normal
39,28.1,55,0,1.64,152.806,normal
41.3,27.1,64,0,1.69,152.856,normal
37.5,25,72,106.1,1.99,153.156,normal
35,23.9,79,66.3,2.51,153.676,normal
32,23.2,87,123.6,4.39,155.556,flood
31,23.5,85,224.4,6.16,157.326,flood
31,24,86,153.5,6.54,157.706,flood
33,20.1,58,328.8,2.71,153.876,normal
36.7,18,45,42.4,2.39,153.556,normal
35,18.3,31,0,2.16,153.326,normal
35.3,22.7,32,0,2.1,153.266,normal
38.5,26,37,0,2.05,153.216,normal
41,28,37,0,1.96,153.126,normal
41,26.6,61,1.7,2.08,153.246,normal
37,24.9,77,25.8,2.13,153.296,normal
34.9,24,80,36.4,2.95,154.116,flood
31.7,23.5,84,115.7,3.97,155.136,flood
30.7,22.9,85,169.9,5.54,156.706,flood
30.3,23.8,81,234.8,6.54,157.706,flood
31.4,20.4,60,257.2,3.43,154.596,flood
35.7,17,45,124.4,2.44,153.606,normal
34.2,19.1,31,0,2.13,153.296,normal
35.9,21,27,0,1.93,153.096,normal
34,24.2,26,0,1.86,153.026,normal
39.2,28,50,0,1.89,153.056,normal
40.7,26.2,61,0,2.96,154.126,flood
37.4,23.7,77,29.1,2.78,153.946,normal
31.9,24,83,84.9,3.46,154.626,flood
31.3,23.1,85,217.6,5.66,156.826,flood
30.5,23.6,83,184.2,5.36,156.526,flood
31.6,23.6,74,219.2,4.02,155.186,flood
34.1,19,51,189.8,2.52,153.686,normal
37,16.5,41,11.2,2.21,153.376,normal
34.3,18.1,39,0,2.07,153.236,normal
34.2,21.7,29,0,2.01,153.176,normal
35.7,25,26,0,2.01,153.176,normal
40.6,27.4,51,0,2,153.166,normal
39.3,26.1,64,0,2.17,153.336,normal
36.8,24.5,73,41.6,2.43,153.596,normal
33,23.9,82,131.8,3.46,154.626,flood
31.6,23.4,84,155.6,4.91,156.076,flood
30.5,23.8,84,153.1,6.02,157.186,flood
30.2,24,72,95.4,4.16,155.326,flood
33.7,21.9,48,189.6,2.54,153.706,normal
37,17,32,66.5,2.1,153.266,normal
36,18.5,32,0,1.91,153.076,normal
32.2,21,30,0,1.84,153.006,normal
36.7,26.4,31,0,1.89,153.056,normal
40.6,28.4,52,0,1.86,153.026,normal
40.1,27.5,59,0,1.98,153.146,normal
38.5,25.4,76,1.8,2.35,153.516,normal
33.8,24.2,78,85.6,3.13,154.296,flood
31.9,23.7,84,105,3.85,155.016,flood
30.7,23.7,83,141.6,5.65,156.816,flood
31.3,23.9,78,267.5,4.16,155.326,flood
32.7,20.1,53,222.7,2.52,153.686,normal
35.8,17.6,45,60.6,2,153.166,normal
34.5,17.5,35,0,1.91,153.076,normal
35.5,22,29,0,1.96,153.126,normal
39,25.3,25,0,1.95,153.116,normal
39.8,28.4,50,0,1.95,153.116,normal
40.1,28,52,0,2.6,153.766,normal
38.8,24.4,81,9.5,4.32,155.486,flood
34.2,24.2,81,77.4,5.13,156.296,flood
32.2,23.8,84,113.7,5.9,157.066,flood
32.1,23.8,85,176.9,3.81,154.976,flood
31.4,24.5,80,238.7,2.28,153.446,normal
33,21.7,58,267,1.99,153.156,normal
36,17.4,45,40.5,1.87,153.036,normal
35.4,18.8,36,0,1.77,152.936,normal
35.8,21.4,27,0,1.81,152.976,normal
39,25.3,26,0,1.8,152.966,normal
39.9,29,52,0,1.9,153.066,normal
40.5,26.5,68,0,2.19,153.356,normal
39,24,75,28,3.07,154.236,flood
34.4,24.1,82,108.4,4.06,155.226,flood
32.1,23.4,85,181.3,4.98,156.146,flood
30.8,23.9,84,145,3.37,154.536,flood
31.3,19,75,204.2,2.34,153.506,normal
32.8,22.6,56,44.7,2.02,153.186,normal
35.4,18.5,39,0,1.96,153.126,normal
35,19.6,33,0,1.88,153.046,normal
34.9,23.5,28,0,1.89,153.056,normal
38.8,24.4,30,0,1.94,153.106,normal
40.2,30.5,40,0,2.07,153.236,normal
40.6,29.1,63,45.3,2.45,153.616,normal
38.8,23.3,77,82.4,3.22,154.386,flood
35,25.1,84,122.4,4.77,155.936,flood
32.6,24.7,85,223.4,4.76,155.926,flood
31.6,22.9,83,183.9,3.97,155.136,flood
31.5,18,76,163.7,2.43,153.596,normal
33,23.8,54,65.2,2.04,153.206,normal
35.6,19.5,47,0,0,151.166,normal
34.6,19.3,32,0,0,151.166,normal
35.6,22.8,36,0,0,151.166,normal
36.8,25.2,31,0,0,151.166,normal
39.9,28.6,36,0,2.58,153.746,normal
40.5,28.4,69,33.7,2.58,153.746,normal
39,25,76,90.9,3.42,154.586,flood
34.5,24.5,81,161.8,4.57,155.736,flood
31.8,23.8,84,228.2,6.57,157.736,flood
30.6,23.2,84,253.3,5.22,156.386,flood
31.3,19.6,78,224.3,2.51,153.676,normal
32.6,20.2,52,58.1,2.22,153.386,normal
35.7,19.4,45,0,2.09,153.256,normal
34.8,19.5,34,0,2.09,153.256,normal
34.8,23.2,31,0,2.09,153.256,normal
37.4,25.3,31,0,2.07,153.236,normal
39.8,29,51,0,2.27,153.436,normal
40.7,28.2,67,29.1,2.46,153.626,normal
38.7,23.8,75,58.5,3.33,154.496,flood
34.7,23.8,76,113.6,5.6,156.766,flood
31.6,24.2,87,164.2,6.04,157.206,flood
30.7,24,83,208.4,3.91,155.076,flood
31.4,23.8,77,195.5,2.36,153.526,normal
32.7,20,61,46.6,2.24,153.406,normal
35.5,20,45,0,2.09,153.256,normal
34.7,19.2,39,0,2.03,153.196,normal
35.2,19.6,30,0,2.04,153.206,normal
38,23.3,31,0,2.05,153.216,normal
38.9,25,49,0,2.09,153.256,normal
39.8,29.5,65,26.8,2.51,153.676,normal
36.8,29,77,32.3,3,154.166,flood
34,24.4,77,84,4.66,155.826,flood
32.4,24,84,41.1,5.69,156.856,flood
31.1,23.8,84,89.2,4.54,155.706,flood
31.5,23.6,67,148.5,2.49,153.656,normal
33.2,21.6,49,33.7,2.17,153.336,normal
37.3,19.4,44,0,2.06,153.226,normal
36.2,19.2,42,0,2.02,153.186,normal
36.8,18.2,29,0,2.03,153.196,normal
38.8,21.7,30,0,2.05,153.216,normal
40,25,56,0,2.17,153.336,normal
38.5,27.4,68,43.9,2.61,153.776,normal
35.7,26.1,79,63.9,3.33,154.496,flood
33.6,24.5,80,148.3,4.88,156.046,flood
32.6,23.9,84,122.2,4.44,155.606,flood
31.5,23.4,84,183.3,0,151.166,normal
31.7,23.8,81,122.3,3.3,154.466,flood
33,24,59,104,2.41,153.576,normal
35.5,21.9,45,0,0,151.166,normal
36,17,39,0,0,151.166,normal
36.5,18,39,0,0,151.166,normal
39.7,22.7,29,0,0,151.166,normal
40.7,26.1,42,0,0,151.166,normal
42.3,28,67,34.9,0,151.166,normal
37.3,27,71,50.7,3.47,154.636,flood
33.5,24.6,82,193.7,4.33,155.496,flood
31.4,23.9,85,176,5.99,157.156,flood
30.9,23.6,85,135.6,4.69,155.856,flood
31.1,23.1,81,162.4,0,151,normal
32.6,24,61,55.9,0,151,normal
36.3,21.9,42,0,0,151,normal
35.5,17.1,37,0,0,151,normal
33.5,17.3,38,0,0,151,normal
38.7,23.4,29,0,0,151,normal
41.2,24.5,42,0,0,151,normal
40.9,27.6,65,2.5,0,151,normal
36.9,25.7,79,58.8,3.72,154.886,flood
34.8,25.1,78,29.9,4.54,155.706,flood
32.4,24.2,82,75.7,3.81,154.976,flood
31.4,23.9,85,134.1,0,151.166,normal
30.6,23.4,77,210,0,151.166,normal
33.5,24.2,51,67.2,0,151.166,normal
35.2,17.7,39,0,0,151.166,normal
34.5,17.3,39,0,0,151.166,normal
33.5,17.7,37,0,0,151.166,normal
38.7,23.1,23,0,1.64,152.806,normal
41.2,24.8,48,0,3.37,154.536,flood
40.9,28.5,67,12,3.49,154.656,flood
36.9,25.7,70,108,4.76,155.926,flood
34.8,23.7,84,213.4,6.58,157.746,flood
32.4,23,85,157.1,4.74,155.906,flood
31.4,23.3,84,162.8,2.38,153.546,normal
30.6,23.1,80,189.5,0,151.166,normal
33.5,23.9,59,40.9,1.36,152.526,normal
35.2,21.8,43,0,1.32,152.486,normal
34.5,18.1,37,0,1.36,152.526,normal
36.2,19.8,34,0,1.45,152.616,normal
39,21.9,43,0,1.6,153.26,normal
41.9,26.9,48,0,1.95,153.116,normal
40.2,28.7,60,0,2.83,153.996,normal
37.9,26.8,77,61,3.74,154.906,flood
34.7,25.7,80,142.4,4.88,156.046,flood
31.5,24.1,81,93.8,3.89,155.056,flood
30.8,24.2,83,120,1.85,153.016,normal
31.5,23.7,75,178.7,1.52,152.686,normal
34.1,24.4,53,44.7,1.39,152.556,normal
37.8,21.7,41,0,1.39,152.556,normal
36.1,20.6,35,0,1.39,152.556,normal
33.8,17.1,33,0,1.4,152.566,normal
37.6,20.5,38,0,1.86,153.026,normal
39.7,24.8,50,0,2.1,153.266,normal
38.9,25.9,73,0,2.78,153.946,normal
34.6,24.1,71,74.1,3.75,154.916,flood
34.2,23.9,80,77.8,4.63,155.796,flood
31.6,22.7,81,196.8,4.4,155.566,flood
31.6,22.8,79,183.3,2.06,153.226,normal
31.7,22.6,73,120.5,1.63,152.796,normal
33.7,23,42,65.7,1.46,152.626,normal
36.2,19.9,31,0,1.47,152.636,normal
33.8,17.4,36,0,1.51,152.676,normal
35.6,20.1,27,0,1.53,152.696,normal
36.6,20.7,39,0,1.63,152.796,normal
39.3,25.8,46,0,1.97,153.136,normal
38.7,26.8,62,0,2.65,153.816,normal
36.3,25.8,73,34.1,3.56,154.726,flood
33.5,25.9,83,79.8,5.24,156.406,flood
30.2,24,83,120.9,3.44,154.606,flood
30,22.9,72,142.2,2.17,153.336,normal
31.1,22.6,69,178.5,1.61,152.776,normal
34.6,22.7,50,40.9,1.5,152.666,normal
37.1,22.3,36,0,1.5,152.666,normal
33.7,19.3,32,0,1.52,152.686,normal
35.7,17.9,28,0,1.53,152.696,normal
38.4,17.1,37,0,1.67,152.836,normal
38.4,21.3,49,0,2.37,153.536,normal
41.4,26.2,60,0,3.29,154.456,flood
40.5,27,73,56.4,4.2,155.366,flood
35,26.3,83,104,5.24,156.406,flood
33.5,24,83,142.4,3.66,154.826,flood
31.1,22.8,81,167,2.07,153.236,normal
31.3,22.3,76,189.5,1.73,152.896,normal
34.5,22.4,49,58.1,1.52,152.686,normal
36.5,22.5,33,0,1.39,152.556,normal
35,18.3,34,0,1.46,152.626,normal
36.2,16.4,20,0,1.49,152.656,normal
39,18.8,35,0,1.68,152.846,normal
41.9,20.8,25,0,2.48,153.646,normal
40.2,24.9,45,17.1,3.45,154.616,flood
37.9,26.7,69,45.1,4.33,155.496,flood
34.7,26.4,75,113.3,4.54,155.706,flood
31.5,25.1,83,142.4,3.31,154.476,flood
30.8,24.3,81,185.6,1.94,153.106,normal
31.5,23.6,76,164,1.64,152.806,normal
34.1,23.2,49,63.1,1.47,152.636,normal
37.8,22.4,33,0,1.46,152.626,normal
